Name,id
Orchid,819
Orchid pink,820
Orioles orange,821
Otter brown,822
Outer Space,823
Outrageous Orange,824
Oxford Blue,825
OU Crimson Red,826
Pacific Blue,827
Pakistan green,828
Palatinate blue,829
Palatinate purple,830
Pale aqua,831
Pale blue,832
Pale brown,833
Pale carmine,834
Pale cerulean,835
Pale chestnut,836
Pale copper,837
Pale cornflower blue,838
Pale cyan,839
Pale gold,840
Pale goldenrod,841
Pale green,842
Pale lavender,843
Pale magenta,844
Pale magenta-pink,845
Pale pink,846
Pale plum,847
Pale red-violet,848
Pale robin egg blue,849
Pale silver,850
Pale spring bud,851
Pale taupe,852
Pale turquoise,853
Pale violet,854
Pale violet-red,855
Palm Leaf,856
Pansy purple,857
Paolo Veronese green,858
Papaya whip,859
Paradise pink,860
Paris Green,861
Parrot Pink,862
Pastel blue,863
Pastel brown,864
Pastel gray,865
Pastel green,866
Pastel magenta,867
Pastel orange,868
Pastel pink,869
Pastel purple,870
Pastel red,871
Pastel violet,872
Pastel yellow,873
Patriarch,874
Payne s grey,875
Peach,876
Peach-orange,877
Peach puff,878
Peach-yellow,879
Pear,880
Pearl,881
Pearl Aqua,882
Pearly purple,883
Peridot,884
Periwinkle,885
Permanent Geranium Lake,886
Persian blue,887
Persian green,888
Persian indigo,889
Persian orange,890
Persian pink,891
Persian plum,892
Persian red,893
Persian rose,894
Persimmon,895
Peru,896
Pewter Blue,897
Phlox,898
Phthalo blue,899
Phthalo green,900
Picton blue,901
Pictorial carmine,902
Piggy pink,903
Pine green,904
Pineapple,905
Pink,906
Pink (Pantone),907
Pink Flamingo,908
Pink lace,909
Pink lavender,910
Pink-orange,911
Pink pearl,912
Pink raspberry,913
Pink Sherbet,914
Pistachio,915
Pixie Powder,916
Platinum,917
Plum,918
Plum (web),919
Plump Purple,920
Polished Pine,921
Pomp and Power,922
Popstar,923
Portland Orange,924
Powder blue,925
Princess Perfume,926
Princeton orange,927
Prune,928
Prussian blue,929
Psychedelic purple,930
Puce,931
Puce red,932
Pullman Brown (UPS Brown),933
Pullman Green,934
Pumpkin,935
Purple (HTML),936
Purple (Munsell),937
Purple (X11),938
Purple Heart,939
Purple mountain majesty,940
Purple navy,941
Purple pizzazz,942
Purple Plum,943
Purple taupe,944
Purpureus,945
Quartz,946
Queen blue,947
Queen pink,948
Quick Silver,949
Quinacridone magenta,950
Rackley,951
Radical Red,952
Raisin black,953
Rajah,954
Raspberry,955
Raspberry glace,956
Raspberry pink,957
Raspberry rose,958
Raw Sienna,959
Raw umber,960
Razzle dazzle rose,961
Razzmatazz,962
Razzmic Berry,963
Rebecca Purple,964
Red,965
Red (Crayola),966
Red (Munsell),967
Red (NCS),968
Red (Pantone),969
Red (pigment),970
Red (RYB),971
Red-brown,972
Red devil,973
Red-orange,974
Red-purple,975
Red Salsa,976
Red-violet,977
Redwood,978
Regalia,979
Registration black,980
Resolution blue,981
Rhythm,982
Rich black,983
Rich black (FOGRA29),984
Rich black (FOGRA39),985
Rich brilliant lavender,986
Rich carmine,987
Rich electric blue,988
Rich lavender,989
Rich lilac,990
Rich maroon,991
Rifle green,992
Roast coffee,993
Robin egg blue,994
Rocket metallic,995
Roman silver,996
Rose,997
Rose bonbon,998
Rose Dust,999
Rose ebony,1000
Rose gold,1001
Rose madder,1002
Rose pink,1003
Rose quartz,1004
Rose red,1005
Rose taupe,1006
Rose vale,1007
Rosewood,1008
Rosso corsa,1009
Rosy brown,1010
Royal azure,1011
Royal blue,1012
Royal fuchsia,1013
Royal purple,1014
Royal yellow,1015
Ruber,1016
Rubine red,1017
Ruby,1018
Ruby red,1019
Ruddy,1020
Ruddy brown,1021
Ruddy pink,1022
Rufous,1023
Russet,1024
Russian green,1025
Russian violet,1026
Rust,1027
Rusty red,1028
Sacramento State green,1029
Saddle brown,1030
Safety orange,1031
Safety orange (blaze orange),1032
Safety yellow,1033
Saffron,1034
Sage,1035
St. Patrick s blue,1036
Salmon,1037
Salmon pink,1038
Sand,1039
Sand dune,1040
Sandstorm,1041
Sandy brown,1042
Sandy Tan,1043
Sandy taupe,1044
Sangria,1045
Sap green,1046
Sapphire,1047
Sapphire blue,1048
Sasquatch Socks,1049
Satin sheen gold,1050
Scarlet,1051
Schauss pink,1052
School bus yellow,1053
Screamin  Green,1054
Sea blue,1055
Sea Foam Green,1056
Sea green,1057
Sea Serpent,1058
Seal brown,1059
Seashell,1060
Selective yellow,1061
Sepia,1062
Shadow,1063
Shadow blue,1064
Shampoo,1065
Shamrock green,1066
Sheen Green,1067
Shimmering Blush,1068
Shiny Shamrock,1069
Shocking pink,1070
Shocking pink (Crayola),1071
Sienna,1072
Silver,1073
Silver chalice,1074
Silver Lake blue,1075
Silver pink,1076
Silver sand,1077
Sinopia,1078
Sizzling Red,1079
Sizzling Sunrise,1080
Skobeloff,1081
Sky blue,1082
Sky magenta,1083
Slate blue,1084
Slate gray,1085
Smalt (Dark powder blue),1086
Slimy Green,1087
Smashed Pumpkin,1088
Smitten,1089
Smoke,1090
Smokey Topaz,1091
Smoky black,1092
Smoky Topaz,1093
Snow,1094
Soap,1095
Solid pink,1096
Sonic silver,1097
Spartan Crimson,1098
Space cadet,1099
Spanish bistre,1100
Spanish blue,1101
Spanish carmine,1102
Spanish crimson,1103
Spanish gray,1104
Spanish green,1105
Spanish orange,1106
Spanish pink,1107
Spanish red,1108
Spanish sky blue,1109
Spanish violet,1110
Spanish viridian,1111
Spicy mix,1112
Spiro Disco Ball,1113
Spring bud,1114
Spring Frost,1115
Spring green,1116
Star command blue,1117
Steel blue,1118
Steel pink,1119
Steel Teal,1120
Stil de grain yellow,1121
Stizza,1122
Stormcloud,1123
Straw,1124
Strawberry,1125
Sugar Plum,1126
Sunburnt Cyclops,1127
Sunglow,1128
Sunny,1129
Sunray,1130
Sunset,1131
Sunset orange,1132
Super pink,1133
Sweet Brown,1134
Tan,1135
Tangelo,1136
Tangerine,1137
Tangerine yellow,1138
Tango pink,1139
Tart Orange,1140
Taupe,1141
Taupe gray,1142
Tea green,1143
Tea rose,1144
Teal,1145
Teal blue,1146
Teal deer,1147
Teal green,1148
Telemagenta,1149
Tenni (tawny),1150
Terra cotta,1151
Thistle,1152
Thulian pink,1153
Tickle Me Pink,1154
Tiffany Blue,1155
Tiger s eye,1156
Timberwolf,1157
Titanium yellow,1158
Tomato,1159
